link,region,price_pcm,type,bedrooms,bathrooms
https://www.rightmove.co.uk/properties/160977944#/,East,3410,Apartment,2,2
https://www.rightmove.co.uk/properties/161192513#/,East,5503,Flat,3,2
https://www.rightmove.co.uk/properties/161192477#/,East,2750,Studio,,1
https://www.rightmove.co.uk/properties/161190356#/,East,2200,Flat,2,1
https://www.rightmove.co.uk/properties/161190287#/,East,4225,Flat,2,2
https://www.rightmove.co.uk/properties/160331717#/,East,3000,Duplex,3,2
https://www.rightmove.co.uk/properties/161190155#/,East,3800,Maisonette,4,1
https://www.rightmove.co.uk/properties/160992452#/,East,1450,Flat,1,1
https://www.rightmove.co.uk/properties/161190047#/,East,2900,Flat,2,2
https://www.rightmove.co.uk/properties/161190017#/,East,2700,Flat,2,2
https://www.rightmove.co.uk/properties/161189999#/,East,2100,Flat,2,1
https://www.rightmove.co.uk/properties/161189987#/,East,2200,Flat,3,2
https://www.rightmove.co.uk/properties/161044247#/,East,1999,Flat,1,1
https://www.rightmove.co.uk/properties/161188709#/,East,1900,Flat,1,1
https://www.rightmove.co.uk/properties/161188556#/,East,2500,Flat,2,1
https://www.rightmove.co.uk/properties/161188466#/,East,1975,Flat,1,1
https://www.rightmove.co.uk/properties/161188367#/,East,2100,Ground Flat,2,1
https://www.rightmove.co.uk/properties/160118264#/,East,1475,Flat,1,1
https://www.rightmove.co.uk/properties/161188322#/,East,2250,Flat,2,1
https://www.rightmove.co.uk/properties/161188226#/,East,1450,Flat,1,1
https://www.rightmove.co.uk/properties/161188196#/,East,1950,Apartment,1,1
https://www.rightmove.co.uk/properties/161192252#/,East,1810,Flat,1,1
https://www.rightmove.co.uk/properties/161186690#/,East,1213,Flat Share,1,
https://www.rightmove.co.uk/properties/160614839#/,East,1995,Apartment,,1
https://www.rightmove.co.uk/properties/158510708#/,East,1900,Apartment,,1
https://www.rightmove.co.uk/properties/161188466#/,East,1975,Flat,1,1
https://www.rightmove.co.uk/properties/158848268#/,East,2350,Apartment,1,1
https://www.rightmove.co.uk/properties/161186501#/,East,1083,Flat Share,1,
https://www.rightmove.co.uk/properties/161170628#/,East,2300,Penthouse,2,2
https://www.rightmove.co.uk/properties/160321928#/,East,1500,Flat Share,1,2
https://www.rightmove.co.uk/properties/161184098#/,East,5200,Flat,5,2
https://www.rightmove.co.uk/properties/161183999#/,East,1800,Apartment,1,1
https://www.rightmove.co.uk/properties/161183930#/,East,1650,Apartment,1,1
https://www.rightmove.co.uk/properties/161183813#/,East,2250,Apartment,1,1
https://www.rightmove.co.uk/properties/161183783#/,East,2100,Flat,2,2
https://www.rightmove.co.uk/properties/161183717#/,East,2600,Apartment,2,2
https://www.rightmove.co.uk/properties/160910765#/,East,2600,Flat,3,2
https://www.rightmove.co.uk/properties/160910759#/,East,2950,Flat,3,4
https://www.rightmove.co.uk/properties/161183288#/,East,4504,Apartment,3,2
https://www.rightmove.co.uk/properties/161183246#/,East,3203,Apartment,1,1
https://www.rightmove.co.uk/properties/161183222#/,East,2487,Apartment,1,1
https://www.rightmove.co.uk/properties/161183183#/,East,3282,Apartment,2,1
https://www.rightmove.co.uk/properties/161183114#/,East,3114,Apartment,2,2
https://www.rightmove.co.uk/properties/161182520#/,East,2817,Apartment,2,2
https://www.rightmove.co.uk/properties/161181719#/,East,1600,Flat,1,1
https://www.rightmove.co.uk/properties/161180972#/,East,1798,Flat,2,1
https://www.rightmove.co.uk/properties/160223525#/,East,2200,Flat,1,1
https://www.rightmove.co.uk/properties/160968158#/,East,1995,Flat,2,1
https://www.rightmove.co.uk/properties/161179415#/,East,2000,Flat,2,1
https://www.rightmove.co.uk/properties/161178191#/,East,1750,Flat,1,1
https://www.rightmove.co.uk/properties/160411793#/,East,2350,Not Specified,,1
https://www.rightmove.co.uk/properties/161038418#/,East,2700,Apartment,1,1
https://www.rightmove.co.uk/properties/161042558#/,East,2950,Apartment,2,2
https://www.rightmove.co.uk/properties/160853258#/,East,2750,Apartment,2,2
https://www.rightmove.co.uk/properties/160846532#/,East,3000,Apartment,2,2
https://www.rightmove.co.uk/properties/160516007#/,East,2200,Studio,,1
https://www.rightmove.co.uk/properties/158629055#/,East,2400,Apartment,1,1
https://www.rightmove.co.uk/properties/160404437#/,East,2200,Apartment,1,1
https://www.rightmove.co.uk/properties/159937973#/,East,2100,Apartment,1,1
https://www.rightmove.co.uk/properties/160560941#/,East,1900,Apartment,1,1
https://www.rightmove.co.uk/properties/160087484#/,East,2100,Apartment,1,1
https://www.rightmove.co.uk/properties/161056496#/,East,2100,Apartment,1,1
https://www.rightmove.co.uk/properties/161069864#/,East,2350,Apartment,1,1
https://www.rightmove.co.uk/properties/160518494#/,East,3000,Apartment,2,2
https://www.rightmove.co.uk/properties/158721284#/,East,3400,Apartment,2,2
https://www.rightmove.co.uk/properties/159130223#/,East,2350,Apartment,1,1
https://www.rightmove.co.uk/properties/160988885#/,East,1875,Flat,1,1
https://www.rightmove.co.uk/properties/161177753#/,East,1775,Flat,1,1
https://www.rightmove.co.uk/properties/161177639#/,East,1400,Apartment,1,1
https://www.rightmove.co.uk/properties/161177588#/,East,1989,Flat,2,1
https://www.rightmove.co.uk/properties/161177600#/,East,3500,Penthouse,2,1
https://www.rightmove.co.uk/properties/161177618#/,East,1950,Flat,1,1
https://www.rightmove.co.uk/properties/161176886#/,East,2300,Flat,1,1
https://www.rightmove.co.uk/properties/161153993#/,East,2800,Flat,2,1
https://www.rightmove.co.uk/properties/161175617#/,East,2350,Apartment,1,1
https://www.rightmove.co.uk/properties/87100629#/,East,4117,Apartment,3,2
https://www.rightmove.co.uk/properties/161174525#/,East,3163,Flat,1,1
https://www.rightmove.co.uk/properties/161174447#/,East,3142,Flat,1,1
https://www.rightmove.co.uk/properties/161174363#/,East,4008,Flat,3,2
